event_index,event_name,marker_code,trial_id,class_name,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,session_start,100,,,0,892,0.0018771999966702424,2026-03-29T20:38:05.317
1,trial_start,200,1,tongue,1,893,0.0019828999975288752,2026-03-29T20:38:05.317
2,baseline_start,110,1,tongue,2,894,0.0020203999993100297,2026-03-29T20:38:05.317
3,baseline_end,111,1,tongue,1005,1897,4.047316999996838,2026-03-29T20:38:09.363
4,cue_tongue,304,1,tongue,1006,1898,4.047431799997867,2026-03-29T20:38:09.363
5,imagery_tongue,314,1,tongue,1398,2290,5.578366899997491,2026-03-29T20:38:10.894
6,imagery_end,320,1,tongue,2404,3296,9.622600499998953,2026-03-29T20:38:14.938
7,iti_start,330,1,tongue,2405,3297,9.622705699999642,2026-03-29T20:38:14.938
8,trial_end,210,1,tongue,2923,3815,11.709424099997705,2026-03-29T20:38:17.025
9,trial_start,200,2,feet,2924,3816,11.709886199998436,2026-03-29T20:38:17.025
10,baseline_start,110,2,feet,2925,3817,11.709955099999206,2026-03-29T20:38:17.025
11,baseline_end,111,2,feet,3940,4832,15.766252299999906,2026-03-29T20:38:21.082
12,cue_feet,303,2,feet,3941,4833,15.766364299997804,2026-03-29T20:38:21.082
13,imagery_feet,313,2,feet,4318,5210,17.296101799998723,2026-03-29T20:38:22.612
14,imagery_end,320,2,feet,5330,6222,21.340415099999518,2026-03-29T20:38:26.656
15,iti_start,330,2,feet,5331,6223,21.340568099996744,2026-03-29T20:38:26.656
16,trial_end,210,2,feet,5854,6746,23.42808459999651,2026-03-29T20:38:28.743
17,trial_start,200,3,right_hand,5855,6747,23.42931039999894,2026-03-29T20:38:28.745
18,baseline_start,110,3,right_hand,5856,6748,23.42937069999971,2026-03-29T20:38:28.745
19,baseline_end,111,3,right_hand,6862,7754,27.485145799997554,2026-03-29T20:38:32.801
20,cue_right_hand,302,3,right_hand,6863,7755,27.48525410000002,2026-03-29T20:38:32.801
21,imagery_right_hand,312,3,right_hand,7243,8135,29.011386899997888,2026-03-29T20:38:34.327
22,imagery_end,320,3,right_hand,8264,9156,33.0620394999969,2026-03-29T20:38:38.377
23,iti_start,330,3,right_hand,8265,9157,33.062169699998776,2026-03-29T20:38:38.378
24,trial_end,210,3,right_hand,8780,9672,35.14042399999744,2026-03-29T20:38:40.456
25,trial_start,200,4,left_hand,8781,9673,35.14074279999841,2026-03-29T20:38:40.456
26,baseline_start,110,4,left_hand,8782,9674,35.140810499997315,2026-03-29T20:38:40.456
27,baseline_end,111,4,left_hand,9793,10685,39.18700419999732,2026-03-29T20:38:44.502
28,cue_left_hand,301,4,left_hand,9794,10686,39.187204299996665,2026-03-29T20:38:44.503
29,imagery_left_hand,311,4,left_hand,10170,11062,40.71764509999775,2026-03-29T20:38:46.033
30,imagery_end,320,4,left_hand,11188,12080,44.76928509999925,2026-03-29T20:38:50.085
31,iti_start,330,4,left_hand,11189,12081,44.76939019999918,2026-03-29T20:38:50.085
32,trial_end,210,4,left_hand,11709,12601,46.846065899997484,2026-03-29T20:38:52.161
33,trial_start,200,5,tongue,11710,12602,46.846301499997935,2026-03-29T20:38:52.162
34,baseline_start,110,5,tongue,11711,12603,46.84642179999719,2026-03-29T20:38:52.162
35,baseline_end,111,5,tongue,12703,13595,50.88163489999715,2026-03-29T20:38:56.197
36,cue_tongue,304,5,tongue,12704,13596,50.88174549999894,2026-03-29T20:38:56.197
37,imagery_tongue,314,5,tongue,13096,13988,52.4218258999972,2026-03-29T20:38:57.737
38,imagery_end,320,5,tongue,14111,15003,56.46443559999898,2026-03-29T20:39:01.780
39,iti_start,330,5,tongue,14112,15004,56.46453429999747,2026-03-29T20:39:01.780
