trial_id,class_name,display_name,accepted,cue_onset_sample,imagery_onset_sample,imagery_offset_sample,trial_end_sample,note
1,right_hand,右手想象,1,1006,1769,3281,3661,
2,left_hand,左手想象,1,4672,5441,6935,7323,
3,feet,双脚想象,1,8341,9104,10608,10999,
4,tongue,舌头想象,1,12008,12772,14283,14666,
5,feet,双脚想象,1,15677,16445,17941,18324,
6,left_hand,左手想象,1,19344,20104,21604,21981,
7,tongue,舌头想象,1,22982,23767,25279,25660,
8,right_hand,右手想象,1,26669,27427,28939,29324,
9,tongue,舌头想象,1,30332,31094,32603,32988,
10,left_hand,左手想象,1,34000,34765,36259,36646,
11,feet,双脚想象,1,37666,38421,39928,40316,
12,right_hand,右手想象,1,41318,42094,43598,43979,
13,left_hand,左手想象,1,44997,45757,47268,47646,
14,right_hand,右手想象,1,48662,49430,50922,51305,
15,feet,双脚想象,1,52332,53089,54597,54986,
16,tongue,舌头想象,1,56003,56758,58264,58654,
17,left_hand,左手想象,1,59653,60424,61923,62313,
18,right_hand,右手想象,1,63320,64088,65597,65979,
19,feet,双脚想象,1,66991,67755,69260,69650,
20,tongue,舌头想象,1,70665,71418,72920,73309,
