event_index,event_name,marker_code,trial_id,class_name,block_type,block_index,artifact_type,continuous_label,continuous_prompt_index,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,session_start,100,,,,,,,,0,1257,0.0027960000006714836,2026-03-30T14:10:47.313
1,practice_start,400,,,,,,,,1,1258,0.002908700000261888,2026-03-30T14:10:47.313
2,practice_end,401,,,,,,,,6018,7275,24.07713109999895,2026-03-30T14:11:11.389
3,trial_start,200,1,tongue,,,,,,6019,7276,24.077348399994662,2026-03-30T14:11:11.389
4,baseline_start,110,1,tongue,,,,,,6020,7277,24.07739190000575,2026-03-30T14:11:11.389
5,baseline_end,111,1,tongue,,,,,,7036,8293,28.122210500005167,2026-03-30T14:11:15.433
6,cue_tongue,304,1,tongue,,,,,,7037,8294,28.122393400000874,2026-03-30T14:11:15.433
7,imagery_tongue,314,1,tongue,,,,,,7410,8667,29.660045399999944,2026-03-30T14:11:16.971
8,imagery_end,320,1,tongue,,,,,,8682,9939,34.706978200003505,2026-03-30T14:11:22.018
9,iti_start,330,1,tongue,,,,,,8683,9940,34.70713949999481,2026-03-30T14:11:22.018
10,trial_end,210,1,tongue,,,,,,9685,10942,38.75454379999428,2026-03-30T14:11:26.066
11,trial_start,200,2,feet,,,,,,9686,10943,38.75547469999583,2026-03-30T14:11:26.067
12,baseline_start,110,2,feet,,,,,,9687,10944,38.7554969000048,2026-03-30T14:11:26.067
13,baseline_end,111,2,feet,,,,,,10703,11960,42.8040359000006,2026-03-30T14:11:30.115
14,cue_feet,303,2,feet,,,,,,10704,11961,42.80422499999986,2026-03-30T14:11:30.115
15,imagery_feet,313,2,feet,,,,,,11093,12350,44.3328063999943,2026-03-30T14:11:31.644
16,imagery_end,320,2,feet,,,,,,12350,13607,49.37149859999772,2026-03-30T14:11:36.682
17,iti_start,330,2,feet,,,,,,12351,13608,49.371679799995036,2026-03-30T14:11:36.682
18,trial_end,210,2,feet,,,,,,13368,14625,53.42234710000048,2026-03-30T14:11:40.734
19,trial_start,200,3,right_hand,,,,,,13369,14626,53.42473260000406,2026-03-30T14:11:40.736
20,baseline_start,110,3,right_hand,,,,,,13370,14627,53.42484379999223,2026-03-30T14:11:40.736
21,baseline_end,111,3,right_hand,,,,,,14371,15628,57.48319109999284,2026-03-30T14:11:44.795
22,cue_right_hand,302,3,right_hand,,,,,,14372,15629,57.483362900005886,2026-03-30T14:11:44.795
23,imagery_right_hand,312,3,right_hand,,,,,,14760,16017,59.01844539999729,2026-03-30T14:11:46.330
24,imagery_end,320,3,right_hand,,,,,,16018,17275,64.0398669999995,2026-03-30T14:11:51.350
25,iti_start,330,3,right_hand,,,,,,16019,17276,64.04006230000232,2026-03-30T14:11:51.352
26,trial_end,210,3,right_hand,,,,,,,,68.08492949999345,2026-03-30T14:11:55.396
27,trial_start,200,4,left_hand,,,,,,,,68.08709929999895,2026-03-30T14:11:55.398
28,baseline_start,110,4,left_hand,,,,,,,,68.08716939999431,2026-03-30T14:11:55.398
29,baseline_end,111,4,left_hand,,,,,,,,69.3121342999948,2026-03-30T14:11:56.623
30,trial_end,210,4,left_hand,,,,,,,,69.31223640000098,2026-03-30T14:11:56.623
31,session_end,101,,,,,,,,,,69.31227910000598,2026-03-30T14:11:56.623
