trial_id,save_index,mi_run_index,run_trial_index,class_name,display_name,accepted,cue_onset_sample,imagery_onset_sample,imagery_offset_sample,trial_end_sample,note
1,1,1,1,tongue,舌头想象,1,103112,103410,104413,104937,
2,1,1,2,left_hand,左手想象,1,105462,105731,106749,107258,
3,1,1,3,feet,双脚想象,1,107783,108051,109069,109578,
4,1,1,4,right_hand,右手想象,1,110118,110386,111344,111913,
5,1,1,5,tongue,舌头想象,1,112425,112692,113724,114248,
6,1,1,6,feet,双脚想象,1,114759,115042,116045,116541,
7,1,1,7,left_hand,左手想象,1,117094,117362,118380,118889,
8,1,1,8,right_hand,右手想象,1,119393,119697,120700,121224,
9,1,1,9,left_hand,左手想象,1,121749,122018,122991,123455,
10,1,1,10,feet,双脚想象,1,124070,124271,125356,125865,
11,1,1,11,tongue,舌头想象,1,126391,126673,127676,128200,
12,1,1,12,right_hand,右手想象,0,,,,128635,当前会话手动提前结束
