event_index,save_index,event_name,marker_code,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,class_name,command_duration_sec,execution_success,sample_index,absolute_sample_index,elapsed_sec,iso_time
0,1,session_start,100,,,,,,,,,0,1122,0.0029230999934952706,2026-04-04T12:10:21.251
1,1,mi_run_start,130,,1,,,,,,,15,1137,0.01633169999695383,2026-04-04T12:10:21.269
2,1,trial_start,200,1,1,1,,,tongue,,,16,1138,0.016420200001448393,2026-04-04T12:10:21.269
3,1,fixation_start,112,1,1,1,,,tongue,,,17,1139,0.016436599995358847,2026-04-04T12:10:21.269
4,1,baseline_start,110,1,1,1,,,tongue,,,18,1140,0.01644819999637548,2026-04-04T12:10:21.269
5,1,baseline_end,111,1,1,1,,,tongue,,,539,1661,2.0936928000010084,2026-04-04T12:10:23.346
6,1,cue_start,120,1,1,1,,,tongue,,,540,1662,2.093740500000422,2026-04-04T12:10:23.346
7,1,cue_tongue,304,1,1,1,,,tongue,,,541,1663,2.0937650999985635,2026-04-04T12:10:23.346
8,1,imagery_start,121,1,1,1,,,tongue,,,809,1931,3.186147499989602,2026-04-04T12:10:24.439
9,1,imagery_tongue,314,1,1,1,,,tongue,,,810,1932,3.1861974999919767,2026-04-04T12:10:24.439
10,1,imagery_end,320,1,1,1,,,tongue,,,1812,2934,7.238924799996312,2026-04-04T12:10:28.491
11,1,iti_start,330,1,1,1,,,tongue,,,1813,2935,7.23896469999454,2026-04-04T12:10:28.491
12,1,trial_end,210,1,1,1,,,tongue,,,2336,3458,9.320364799990784,2026-04-04T12:10:30.573
13,1,trial_start,200,2,1,2,,,left_hand,,,2337,3459,9.32206259999657,2026-04-04T12:10:30.575
14,1,fixation_start,112,2,1,2,,,left_hand,,,2338,3460,9.322084600004018,2026-04-04T12:10:30.575
15,1,baseline_start,110,2,1,2,,,left_hand,,,2339,3461,9.32209519999742,2026-04-04T12:10:30.575
16,1,baseline_end,111,2,1,2,,,left_hand,,,2859,3981,11.403788299998268,2026-04-04T12:10:32.656
17,1,cue_start,120,2,1,2,,,left_hand,,,2860,3982,11.403851800001576,2026-04-04T12:10:32.656
18,1,cue_left_hand,301,2,1,2,,,left_hand,,,2861,3983,11.403865699991002,2026-04-04T12:10:32.656
19,1,imagery_start,121,2,1,2,,,left_hand,,,3129,4251,12.485754199995426,2026-04-04T12:10:33.738
20,1,imagery_left_hand,311,2,1,2,,,left_hand,,,3130,4252,12.485816499989596,2026-04-04T12:10:33.738
21,1,imagery_end,320,2,1,2,,,left_hand,,,4132,5254,16.53434240000206,2026-04-04T12:10:37.787
22,1,iti_start,330,2,1,2,,,left_hand,,,4133,5255,16.53440829999454,2026-04-04T12:10:37.787
23,1,trial_end,210,2,1,2,,,left_hand,,,4656,5778,18.622409299990977,2026-04-04T12:10:39.874
24,1,trial_start,200,3,1,3,,,right_hand,,,4657,5779,18.624009299994214,2026-04-04T12:10:39.877
25,1,fixation_start,112,3,1,3,,,right_hand,,,4658,5780,18.6240312000009,2026-04-04T12:10:39.877
26,1,baseline_start,110,3,1,3,,,right_hand,,,4659,5781,18.62404229999811,2026-04-04T12:10:39.877
27,1,baseline_end,111,3,1,3,,,right_hand,,,5015,6137,20.010449299996253,2026-04-04T12:10:41.263
28,1,trial_end,210,3,1,3,,,right_hand,,,5016,6138,20.01050319999922,2026-04-04T12:10:41.263
29,1,mi_run_end,131,,1,,,,,,,5017,6139,20.010527199992794,2026-04-04T12:10:41.263
30,1,session_end,101,,,,,,,,,5018,6140,20.010544499993557,2026-04-04T12:10:41.263
