segment_id,save_index,segment_type,label,start_sample,end_sample,duration_sec,trial_id,mi_run_index,run_trial_index,block_index,prompt_index,accepted,execution_success,source_start_event,source_end_event
1,1,trial,tongue,2,2588,10.344,1,1,1,,,1,,trial_start,trial_end
2,1,baseline,tongue,3,537,2.136,1,1,1,,,1,,fixation_start,baseline_end
3,1,cue,tongue,538,1031,1.972,1,1,1,,,1,,cue_start,imagery_start
4,1,imagery,tongue,1031,2064,4.132,1,1,1,,,1,,imagery_start,imagery_end
5,1,iti,tongue,2065,2588,2.092,1,1,1,,,1,,iti_start,trial_end
6,1,trial,right_hand,2589,5163,10.296,2,1,2,,,1,,trial_start,trial_end
7,1,baseline,right_hand,2590,3112,2.088,2,1,2,,,1,,fixation_start,baseline_end
8,1,cue,right_hand,3113,3621,2.032,2,1,2,,,1,,cue_start,imagery_start
9,1,imagery,right_hand,3621,4639,4.072,2,1,2,,,1,,imagery_start,imagery_end
10,1,iti,right_hand,4640,5163,2.092,2,1,2,,,1,,iti_start,trial_end
11,1,trial,feet,5164,7737,10.292,3,1,3,,,1,,trial_start,trial_end
12,1,baseline,feet,5165,5673,2.032,3,1,3,,,1,,fixation_start,baseline_end
13,1,cue,feet,5674,6211,2.148,3,1,3,,,1,,cue_start,imagery_start
14,1,imagery,feet,6211,7214,4.012,3,1,3,,,1,,imagery_start,imagery_end
15,1,iti,feet,7215,7737,2.088,3,1,3,,,1,,iti_start,trial_end
16,1,trial,left_hand,7738,10207,9.876,4,1,4,,,1,,trial_start,trial_end
17,1,baseline,left_hand,7739,8261,2.088,4,1,4,,,1,,fixation_start,baseline_end
18,1,cue,left_hand,8262,8785,2.092,4,1,4,,,1,,cue_start,imagery_start
19,1,imagery,left_hand,8785,9788,4.012,4,1,4,,,1,,imagery_start,imagery_end
20,1,iti,left_hand,9789,10207,1.672,4,1,4,,,1,,iti_start,trial_end
